prompt,messages,category
Tell me about the Ai Engineering program at Near East University.,"[{""content"": ""Tell me about the Ai Engineering program at Near East University."", ""role"": ""user""}, {""content"": ""Near East University Faculty of Artificial Intelligence and Informatics\nDepartment of Artificial Intelligence Engineering Bachelor's Degree\nMain website link: https://aif.neu.edu.tr/\nAcademic Program link: https://aif.neu.edu.tr/"", ""role"": ""assistant""}]",Program Information
What is the Ai Engineering program?,"[{""content"": ""What is the Ai Engineering program?"", ""role"": ""user""}, {""content"": ""Near East University Faculty of Artificial Intelligence and Informatics\nDepartment of Artificial Intelligence Engineering Bachelor's Degree\nMain website link: https://aif.neu.edu.tr/\nAcademic Program link: https://aif.neu.edu.tr/"", ""role"": ""assistant""}]",Program Information
What courses will I take in first year first semester of Ai Engineering?,"[{""content"": ""What courses will I take in first year first semester of Ai Engineering?"", ""role"": ""user""}, {""content"": ""In the first year first semester of Ai Engineering, you will study:\n\nFirst Year - First Semester Courses (Year One or 1 First Semester - Fall):\nMTH113, Linear Algebra, Credit 3, ECTS 5\nAII102, Programming and Problem Solving, Credit 4, ECTS 5\nENG101, English I, Credit 2, ECTS 3\nMTH101, Calculus I, Credit 4, ECTS 5\nPHY101, General Physics I, Credit 4, ECTS 5\nCAM100, Campus Orientation, Credit 0, ECTS 2\nCHM101, General Chemistry I, Credit 4, ECTS 5"", ""role"": ""assistant""}]",Course Information
List the first year first semester courses for Ai Engineering,"[{""content"": ""List the first year first semester courses for Ai Engineering"", ""role"": ""user""}, {""content"": ""In the first year first semester of Ai Engineering, you will study:\n\nFirst Year - First Semester Courses (Year One or 1 First Semester - Fall):\nMTH113, Linear Algebra, Credit 3, ECTS 5\nAII102, Programming and Problem Solving, Credit 4, ECTS 5\nENG101, English I, Credit 2, ECTS 3\nMTH101, Calculus I, Credit 4, ECTS 5\nPHY101, General Physics I, Credit 4, ECTS 5\nCAM100, Campus Orientation, Credit 0, ECTS 2\nCHM101, General Chemistry I, Credit 4, ECTS 5"", ""role"": ""assistant""}]",Curriculum
What courses will I take in first year second semester of Ai Engineering?,"[{""content"": ""What courses will I take in first year second semester of Ai Engineering?"", ""role"": ""user""}, {""content"": ""In the first year second semester of Ai Engineering, you will study:\n\nFirst Year - Second Semester Courses (Year One or 1 Second Semester - Spring):\nAII104, Discrete Structures, Credit 3, ECTS 5\nENG102, English II, Credit 2, ECTS 3\nMTH102, Calculus II, Credit 4, ECTS 6\nPHY102, General Physics II, Credit 4, ECTS 6\nAII108, Object Oriented Programming, Credit 3, ECTS 6\nCAR100, Career Planning, Credit 0, ECTS 2\nGEC351, 21st Century Skills, Credit 0, ECTS 2"", ""role"": ""assistant""}]",Course Information
List the first year second semester courses for Ai Engineering,"[{""content"": ""List the first year second semester courses for Ai Engineering"", ""role"": ""user""}, {""content"": ""In the first year second semester of Ai Engineering, you will study:\n\nFirst Year - Second Semester Courses (Year One or 1 Second Semester - Spring):\nAII104, Discrete Structures, Credit 3, ECTS 5\nENG102, English II, Credit 2, ECTS 3\nMTH102, Calculus II, Credit 4, ECTS 6\nPHY102, General Physics II, Credit 4, ECTS 6\nAII108, Object Oriented Programming, Credit 3, ECTS 6\nCAR100, Career Planning, Credit 0, ECTS 2\nGEC351, 21st Century Skills, Credit 0, ECTS 2"", ""role"": ""assistant""}]",Curriculum
What courses will I take in second year first semester of Ai Engineering?,"[{""content"": ""What courses will I take in second year first semester of Ai Engineering?"", ""role"": ""user""}, {""content"": ""In the second year first semester of Ai Engineering, you will study:\n\nSecond Year - First Semester Courses (Year Two or 2 First Semester - Fall):\nAII001, Logic Design, Credit 4, ECTS 6\nAII201, Data Structures & Algorithms, Credit 4, ECTS 6\nAIE201, AI Principles and Techniques, Credit 3, ECTS 3\nMTH201, Differential Equations, Credit 4, ECTS 6\nAII007, Multimedia Systems, Credit 3, ECTS 5\nAIT103, Atatürk Principles and Reforms I, Credit 2, ECTS 2\nYIT101, Turkish for Foreigners I, Credit 2, ECTS 2"", ""role"": ""assistant""}]",Course Information
List the second year first semester courses for Ai Engineering,"[{""content"": ""List the second year first semester courses for Ai Engineering"", ""role"": ""user""}, {""content"": ""In the second year first semester of Ai Engineering, you will study:\n\nSecond Year - First Semester Courses (Year Two or 2 First Semester - Fall):\nAII001, Logic Design, Credit 4, ECTS 6\nAII201, Data Structures & Algorithms, Credit 4, ECTS 6\nAIE201, AI Principles and Techniques, Credit 3, ECTS 3\nMTH201, Differential Equations, Credit 4, ECTS 6\nAII007, Multimedia Systems, Credit 3, ECTS 5\nAIT103, Atatürk Principles and Reforms I, Credit 2, ECTS 2\nYIT101, Turkish for Foreigners I, Credit 2, ECTS 2"", ""role"": ""assistant""}]",Curriculum
What courses will I take in second year second semester of Ai Engineering?,"[{""content"": ""What courses will I take in second year second semester of Ai Engineering?"", ""role"": ""user""}, {""content"": ""In the second year second semester of Ai Engineering, you will study:\n\nSecond Year - Second Semester Courses (Year Two or 2 Second Semester - Spring):\nAII202, Database Management Systems, Credit 4, ECTS 5\nAIE206, Reasoning and Agents in AI, Credit 4, ECTS 7\nMTH251, Probability and Statistics, Credit 3, ECTS 6\nAIT104, Atatürk Principles and Reforms II, Credit 2, ECTS 2\nAIE299, Summer Training I, Credit 0, ECTS 6\nCHC100, Cyprus History and Culture, Credit 0, ECTS 2\nYIT102, Turkish for Foreigners II, Credit 2, ECTS 2"", ""role"": ""assistant""}]",Course Information
List the second year second semester courses for Ai Engineering,"[{""content"": ""List the second year second semester courses for Ai Engineering"", ""role"": ""user""}, {""content"": ""In the second year second semester of Ai Engineering, you will study:\n\nSecond Year - Second Semester Courses (Year Two or 2 Second Semester - Spring):\nAII202, Database Management Systems, Credit 4, ECTS 5\nAIE206, Reasoning and Agents in AI, Credit 4, ECTS 7\nMTH251, Probability and Statistics, Credit 3, ECTS 6\nAIT104, Atatürk Principles and Reforms II, Credit 2, ECTS 2\nAIE299, Summer Training I, Credit 0, ECTS 6\nCHC100, Cyprus History and Culture, Credit 0, ECTS 2\nYIT102, Turkish for Foreigners II, Credit 2, ECTS 2"", ""role"": ""assistant""}]",Curriculum
What courses will I take in third year first semester of Ai Engineering?,"[{""content"": ""What courses will I take in third year first semester of Ai Engineering?"", ""role"": ""user""}, {""content"": ""In the third year first semester of Ai Engineering, you will study:\n\nThird Year - First Semester Courses (Year Three or 3 First Semester - Fall):\nAII302, Operating Systems, Credit 3, ECTS 6\nAIE301, Pattern Recognition, Credit 3, ECTS 5\nENG201, Oral Communication Skills, Credit 3, ECTS 4\nAIE303, Natural Language Processing, Credit 3, ECTS 3\nAII439, Occupational Health and Safety I, Credit 2, ECTS 4\nAII427, Management for Engineers, Credit 3, ECTS 5\nAIE204, Neural Computation, Credit 3, ECTS 3"", ""role"": ""assistant""}]",Course Information
List the third year first semester courses for Ai Engineering,"[{""content"": ""List the third year first semester courses for Ai Engineering"", ""role"": ""user""}, {""content"": ""In the third year first semester of Ai Engineering, you will study:\n\nThird Year - First Semester Courses (Year Three or 3 First Semester - Fall):\nAII302, Operating Systems, Credit 3, ECTS 6\nAIE301, Pattern Recognition, Credit 3, ECTS 5\nENG201, Oral Communication Skills, Credit 3, ECTS 4\nAIE303, Natural Language Processing, Credit 3, ECTS 3\nAII439, Occupational Health and Safety I, Credit 2, ECTS 4\nAII427, Management for Engineers, Credit 3, ECTS 5\nAIE204, Neural Computation, Credit 3, ECTS 3"", ""role"": ""assistant""}]",Curriculum
What courses will I take in third year second semester of Ai Engineering?,"[{""content"": ""What courses will I take in third year second semester of Ai Engineering?"", ""role"": ""user""}, {""content"": ""In the third year second semester of Ai Engineering, you will study:\n\nThird Year - Second Semester Courses (Year Three or 3 Second Semester - Spring):\nAIE302, Introduction to Machine Learning, Credit 4, ECTS 7\nAII303, Data Communications and Networking, Credit 4, ECTS 5\nAIE304, Learning in Humans, Credit 3, ECTS 5\nAIE306, Deep Learning, Credit 3, ECTS 5\nAII440, Occupational Health and Safety II, Credit 3, ECTS 2\nAIE399, Summer Training II, Credit 0, ECTS 6"", ""role"": ""assistant""}]",Course Information
List the third year second semester courses for Ai Engineering,"[{""content"": ""List the third year second semester courses for Ai Engineering"", ""role"": ""user""}, {""content"": ""In the third year second semester of Ai Engineering, you will study:\n\nThird Year - Second Semester Courses (Year Three or 3 Second Semester - Spring):\nAIE302, Introduction to Machine Learning, Credit 4, ECTS 7\nAII303, Data Communications and Networking, Credit 4, ECTS 5\nAIE304, Learning in Humans, Credit 3, ECTS 5\nAIE306, Deep Learning, Credit 3, ECTS 5\nAII440, Occupational Health and Safety II, Credit 3, ECTS 2\nAIE399, Summer Training II, Credit 0, ECTS 6"", ""role"": ""assistant""}]",Curriculum
What courses will I take in fourth year first semester of Ai Engineering?,"[{""content"": ""What courses will I take in fourth year first semester of Ai Engineering?"", ""role"": ""user""}, {""content"": ""In the fourth year first semester of Ai Engineering, you will study:\n\nFourth Year - First Semester Courses (Year Four or 4 First Semester - Final Year First Semester - Fall):\nAIE401, Introduction to Robotics, Credit 3, ECTS 7\nAIE403, Computer Vision, Credit 3, ECTS 7\nAIE491, Senior Project I, Credit 3, ECTS 6\nTechnical Elective, Credit 3, ECTS 5\nTechnical Elective, Credit 3, ECTS 5"", ""role"": ""assistant""}]",Course Information
