"prompt","answer"
"Tell me about the Ai Engineering program at Near East University.","Near East University Faculty of Artificial Intelligence and Informatics
Department of Artificial Intelligence Engineering Bachelor's Degree
Main website link: https://aif.neu.edu.tr/
Academic Program link: https://aif.neu.edu.tr/"
"What is the Ai Engineering program?","Near East University Faculty of Artificial Intelligence and Informatics
Department of Artificial Intelligence Engineering Bachelor's Degree
Main website link: https://aif.neu.edu.tr/
Academic Program link: https://aif.neu.edu.tr/"
"What courses will I take in first year first semester of Ai Engineering?","In the first year first semester of Ai Engineering, you will study:

First Year - First Semester Courses (Year One or 1 First Semester - Fall):
MTH113, Linear Algebra, Credit 3, ECTS 5
AII102, Programming and Problem Solving, Credit 4, ECTS 5
ENG101, English I, Credit 2, ECTS 3
MTH101, Calculus I, Credit 4, ECTS 5
PHY101, General Physics I, Credit 4, ECTS 5
CAM100, Campus Orientation, Credit 0, ECTS 2
CHM101, General Chemistry I, Credit 4, ECTS 5"
"List the first year first semester courses for Ai Engineering","In the first year first semester of Ai Engineering, you will study:

First Year - First Semester Courses (Year One or 1 First Semester - Fall):
MTH113, Linear Algebra, Credit 3, ECTS 5
AII102, Programming and Problem Solving, Credit 4, ECTS 5
ENG101, English I, Credit 2, ECTS 3
MTH101, Calculus I, Credit 4, ECTS 5
PHY101, General Physics I, Credit 4, ECTS 5
CAM100, Campus Orientation, Credit 0, ECTS 2
CHM101, General Chemistry I, Credit 4, ECTS 5"
"What courses will I take in first year second semester of Ai Engineering?","In the first year second semester of Ai Engineering, you will study:

First Year - Second Semester Courses (Year One or 1 Second Semester - Spring):
AII104, Discrete Structures, Credit 3, ECTS 5
ENG102, English II, Credit 2, ECTS 3
MTH102, Calculus II, Credit 4, ECTS 6
PHY102, General Physics II, Credit 4, ECTS 6
AII108, Object Oriented Programming, Credit 3, ECTS 6
CAR100, Career Planning, Credit 0, ECTS 2
GEC351, 21st Century Skills, Credit 0, ECTS 2"
"List the first year second semester courses for Ai Engineering","In the first year second semester of Ai Engineering, you will study:

First Year - Second Semester Courses (Year One or 1 Second Semester - Spring):
AII104, Discrete Structures, Credit 3, ECTS 5
ENG102, English II, Credit 2, ECTS 3
MTH102, Calculus II, Credit 4, ECTS 6
PHY102, General Physics II, Credit 4, ECTS 6
AII108, Object Oriented Programming, Credit 3, ECTS 6
CAR100, Career Planning, Credit 0, ECTS 2
GEC351, 21st Century Skills, Credit 0, ECTS 2"
"What courses will I take in second year first semester of Ai Engineering?","In the second year first semester of Ai Engineering, you will study:

Second Year - First Semester Courses (Year Two or 2 First Semester - Fall):
AII001, Logic Design, Credit 4, ECTS 6
AII201, Data Structures & Algorithms, Credit 4, ECTS 6
AIE201, AI Principles and Techniques, Credit 3, ECTS 3
MTH201, Differential Equations, Credit 4, ECTS 6
AII007, Multimedia Systems, Credit 3, ECTS 5
AIT103, Atatürk Principles and Reforms I, Credit 2, ECTS 2
YIT101, Turkish for Foreigners I, Credit 2, ECTS 2"
"List the second year first semester courses for Ai Engineering","In the second year first semester of Ai Engineering, you will study:

Second Year - First Semester Courses (Year Two or 2 First Semester - Fall):
AII001, Logic Design, Credit 4, ECTS 6
AII201, Data Structures & Algorithms, Credit 4, ECTS 6
AIE201, AI Principles and Techniques, Credit 3, ECTS 3
MTH201, Differential Equations, Credit 4, ECTS 6
AII007, Multimedia Systems, Credit 3, ECTS 5
AIT103, Atatürk Principles and Reforms I, Credit 2, ECTS 2
YIT101, Turkish for Foreigners I, Credit 2, ECTS 2"
"What courses will I take in second year second semester of Ai Engineering?","In the second year second semester of Ai Engineering, you will study:

Second Year - Second Semester Courses (Year Two or 2 Second Semester - Spring):
AII202, Database Management Systems, Credit 4, ECTS 5
AIE206, Reasoning and Agents in AI, Credit 4, ECTS 7
MTH251, Probability and Statistics, Credit 3, ECTS 6
AIT104, Atatürk Principles and Reforms II, Credit 2, ECTS 2
AIE299, Summer Training I, Credit 0, ECTS 6
CHC100, Cyprus History and Culture, Credit 0, ECTS 2
YIT102, Turkish for Foreigners II, Credit 2, ECTS 2"
"List the second year second semester courses for Ai Engineering","In the second year second semester of Ai Engineering, you will study:

Second Year - Second Semester Courses (Year Two or 2 Second Semester - Spring):
AII202, Database Management Systems, Credit 4, ECTS 5
AIE206, Reasoning and Agents in AI, Credit 4, ECTS 7
MTH251, Probability and Statistics, Credit 3, ECTS 6
AIT104, Atatürk Principles and Reforms II, Credit 2, ECTS 2
AIE299, Summer Training I, Credit 0, ECTS 6
CHC100, Cyprus History and Culture, Credit 0, ECTS 2
YIT102, Turkish for Foreigners II, Credit 2, ECTS 2"
"What courses will I take in third year first semester of Ai Engineering?","In the third year first semester of Ai Engineering, you will study:

Third Year - First Semester Courses (Year Three or 3 First Semester - Fall):
AII302, Operating Systems, Credit 3, ECTS 6
AIE301, Pattern Recognition, Credit 3, ECTS 5
ENG201, Oral Communication Skills, Credit 3, ECTS 4
AIE303, Natural Language Processing, Credit 3, ECTS 3
AII439, Occupational Health and Safety I, Credit 2, ECTS 4
AII427, Management for Engineers, Credit 3, ECTS 5
AIE204, Neural Computation, Credit 3, ECTS 3"
"List the third year first semester courses for Ai Engineering","In the third year first semester of Ai Engineering, you will study:

Third Year - First Semester Courses (Year Three or 3 First Semester - Fall):
AII302, Operating Systems, Credit 3, ECTS 6
AIE301, Pattern Recognition, Credit 3, ECTS 5
ENG201, Oral Communication Skills, Credit 3, ECTS 4
AIE303, Natural Language Processing, Credit 3, ECTS 3
AII439, Occupational Health and Safety I, Credit 2, ECTS 4
AII427, Management for Engineers, Credit 3, ECTS 5
AIE204, Neural Computation, Credit 3, ECTS 3"
"What courses will I take in third year second semester of Ai Engineering?","In the third year second semester of Ai Engineering, you will study:

Third Year - Second Semester Courses (Year Three or 3 Second Semester - Spring):
AIE302, Introduction to Machine Learning, Credit 4, ECTS 7
AII303, Data Communications and Networking, Credit 4, ECTS 5
AIE304, Learning in Humans, Credit 3, ECTS 5
AIE306, Deep Learning, Credit 3, ECTS 5
AII440, Occupational Health and Safety II, Credit 3, ECTS 2
AIE399, Summer Training II, Credit 0, ECTS 6"
"List the third year second semester courses for Ai Engineering","In the third year second semester of Ai Engineering, you will study:

Third Year - Second Semester Courses (Year Three or 3 Second Semester - Spring):
AIE302, Introduction to Machine Learning, Credit 4, ECTS 7
AII303, Data Communications and Networking, Credit 4, ECTS 5
AIE304, Learning in Humans, Credit 3, ECTS 5
AIE306, Deep Learning, Credit 3, ECTS 5
AII440, Occupational Health and Safety II, Credit 3, ECTS 2
AIE399, Summer Training II, Credit 0, ECTS 6"
"What courses will I take in fourth year first semester of Ai Engineering?","In the fourth year first semester of Ai Engineering, you will study:

Fourth Year - First Semester Courses (Year Four or 4 First Semester - Final Year First Semester - Fall):
AIE401, Introduction to Robotics, Credit 3, ECTS 7
AIE403, Computer Vision, Credit 3, ECTS 7
AIE491, Senior Project I, Credit 3, ECTS 6
Technical Elective, Credit 3, ECTS 5
Technical Elective, Credit 3, ECTS 5"
"List the fourth year first semester courses for Ai Engineering","In the fourth year first semester of Ai Engineering, you will study:

Fourth Year - First Semester Courses (Year Four or 4 First Semester - Final Year First Semester - Fall):
AIE401, Introduction to Robotics, Credit 3, ECTS 7
AIE403, Computer Vision, Credit 3, ECTS 7
AIE491, Senior Project I, Credit 3, ECTS 6
Technical Elective, Credit 3, ECTS 5
Technical Elective, Credit 3, ECTS 5"
"What courses will I take in fourth year second semester of Ai Engineering?","In the fourth year second semester of Ai Engineering, you will study:

Fourth Year - Second Semester Courses (Year Four or 4 Second Semester - Final Year Second Semester - Spring):
AII429, Engineering Ethics, Credit 3, ECTS 6
AIE492, Senior Project II, Credit 4, ECTS 7
AIE402, Speech Processing, Credit 3, ECTS 7
Technical Elective, Credit 3, ECTS 5
Technical Elective, Credit 3, ECTS 5"
"List the fourth year second semester courses for Ai Engineering","In the fourth year second semester of Ai Engineering, you will study:

Fourth Year - Second Semester Courses (Year Four or 4 Second Semester - Final Year Second Semester - Spring):
AII429, Engineering Ethics, Credit 3, ECTS 6
AIE492, Senior Project II, Credit 4, ECTS 7
AIE402, Speech Processing, Credit 3, ECTS 7
Technical Elective, Credit 3, ECTS 5
Technical Elective, Credit 3, ECTS 5"
"What career opportunities are available after graduating from Ai Engineering?","Career Opportunities for AI Engineering Graduates:
AI Engineer
Machine Learning Engineer
Data Scientist
Robotics Engineer
Computer Vision Engineer
Natural Language Processing Specialist
AI Researcher
Intelligent Systems Developer"
"What jobs can I get with a Ai Engineering degree?","Career Opportunities for AI Engineering Graduates:
AI Engineer
Machine Learning Engineer
Data Scientist
Robotics Engineer
Computer Vision Engineer
Natural Language Processing Specialist
AI Researcher
Intelligent Systems Developer"
"What can I do after graduating from Ai Engineering?","Career Opportunities for AI Engineering Graduates:
AI Engineer
Machine Learning Engineer
Data Scientist
Robotics Engineer
Computer Vision Engineer
Natural Language Processing Specialist
AI Researcher
Intelligent Systems Developer"
"What elective courses are available in the Ai Engineering program?","The Ai Engineering program offers the following elective courses:

Fourth Year - First Semester Courses (Year Four or 4 First Semester - Final Year First Semester - Fall):
AIE401, Introduction to Robotics, Credit 3, ECTS 7
AIE403, Computer Vision, Credit 3, ECTS 7
AIE491, Senior Project I, Credit 3, ECTS 6
Technical Elective, Credit 3, ECTS 5
Technical Elective, Credit 3, ECTS 5"
"Tell me about elective courses for Ai Engineering","The Ai Engineering program offers the following elective courses:

Fourth Year - First Semester Courses (Year Four or 4 First Semester - Final Year First Semester - Fall):
AIE401, Introduction to Robotics, Credit 3, ECTS 7
AIE403, Computer Vision, Credit 3, ECTS 7
AIE491, Senior Project I, Credit 3, ECTS 6
Technical Elective, Credit 3, ECTS 5
Technical Elective, Credit 3, ECTS 5"
"What are the focus areas of Ai Engineering?","Artificial Intelligence Engineering Program Overview:
Bachelor's Degree program focusing on AI technologies, machine learning, robotics, and intelligent systems.
Combines computer science fundamentals with specialized AI courses.
Includes practical training and senior projects.
Prepares students for careers in AI development, research, and implementation."
"What specializations does Ai Engineering offer?","Artificial Intelligence Engineering Program Overview:
Bachelor's Degree program focusing on AI technologies, machine learning, robotics, and intelligent systems.
Combines computer science fundamentals with specialized AI courses.
Includes practical training and senior projects.
Prepares students for careers in AI development, research, and implementation."
"Tell me about the Automotive Engineering program at Near East University.","FACULTY OF ENGINEERING
DEPARTMENT OF AUTOMOTIVE ENGINEERING
Bachelor of Science in Automotive Engineering

Program Duration: 4 years (8 semesters)
Degree: Bachelor of Science
Total ECTS for Graduation: 240
Total Credits: 150

Main website: https://muhendislik.neu.edu.tr/?lang=en
Curriculum link: https://muhendislik.neu.edu.tr/academic/academic-programmes/department-of-automotive-engineering/?lang=en

Legend:
PS = Problem Solving
C = Complementary
R = Reformative
T = Tutorial
LAB = Laboratory Hours
Practical = Practical Hours"
"What is the Automotive Engineering program?","FACULTY OF ENGINEERING
DEPARTMENT OF AUTOMOTIVE ENGINEERING
Bachelor of Science in Automotive Engineering

Program Duration: 4 years (8 semesters)
Degree: Bachelor of Science
Total ECTS for Graduation: 240
Total Credits: 150

Main website: https://muhendislik.neu.edu.tr/?lang=en
Curriculum link: https://muhendislik.neu.edu.tr/academic/academic-programmes/department-of-automotive-engineering/?lang=en

Legend:
PS = Problem Solving
C = Complementary
R = Reformative
T = Tutorial
LAB = Laboratory Hours
Practical = Practical Hours"
